TRANS_DATE,DSHARES
2013-01-01,5557776.138991301
2013-01-10,5437570.934860502
2013-01-11,5452066.327728073
2013-01-19,5329172.76244922
2013-01-22,5305666.062733574
2013-01-24,5367118.206135022
2013-02-01,5181308.275161633
2013-02-03,5133447.990236086
2013-02-19,5123036.51251785
2013-02-24,4885384.024750249
2013-03-01,4894288.824600869
2013-03-03,4805322.8205593275
2013-03-10,4725065.329386836
2013-04-09,4430057.34606339
2013-04-10,6231180.7577098
2013-04-16,4478598.158740205
2013-04-25,4349974.785111055
2013-04-26,4261143.047620055
2013-04-30,4413136.783369743
2013-05-15,4070309.232451807
2013-05-31,3946646.6250272077
2013-06-12,3811678.4328173553
2013-06-16,3746545.152347713
2013-06-22,3693669.1525130672
2013-06-30,3626729.2937516575
2013-07-06,3573151.0567490296
2013-07-10,4960764.920611579
2013-07-21,3448512.5291146752
2013-07-22,3452463.2119708275
2013-08-01,3381443.2292090887
2013-08-02,3367374.31479292
2013-08-03,3344397.603133878
2013-08-17,3234938.5807995684
2013-08-19,3288180.8044683607
2013-08-22,3334685.8162079444
2013-08-24,3181874.0140348966
2013-09-11,3080200.651523709
2013-09-19,3009487.8525286913
2013-10-22,2774334.799890973
2013-11-01,2849697.5637666476
2013-11-10,2645223.247136253
2013-11-11,2645415.8612339115
2013-11-12,2705566.742489391
2013-11-21,2610834.2671042383
2013-11-27,2560773.601969666
2013-12-18,2445491.7262955727
2013-12-27,2393003.6480791215
2014-01-19,2241380.914306185
2014-01-20,2236678.2331746845
2014-02-01,2175144.4192908765
2014-02-02,2168173.583842497
2014-02-05,2164276.5057544797
2014-02-13,2116710.1068811105
2014-02-19,2097376.732192414
2014-02-22,2068019.5870391736
2014-02-24,2069249.8442142643
2014-03-13,1986693.6126293326
2014-03-15,1968646.8258042058
2014-04-09,1865865.053223879
2014-04-15,1837465.498118864
2014-04-16,4378518.226635121
2014-05-07,1740335.022791139
2014-05-10,1723206.7440149654
2014-05-18,1690907.830898196
2014-05-19,1827269.4751472992
2014-06-12,1597556.7838089224
2014-07-03,1519543.8342856437
2014-07-12,1485696.2630781508
2014-07-27,1432555.7179911495
2014-08-03,1409002.2053710145
2014-08-05,1408338.716349766
2014-08-08,1395819.9944683285
2014-08-19,1359496.6609274878
2014-08-25,1341940.7718495533
2014-09-01,1360993.6536686523
2014-09-04,1306969.1539315006
2014-09-05,1317541.5082390783
2014-09-27,1236953.9743764056
2014-10-01,1249596.6233479748
2014-10-02,1247931.0732106888
2014-10-07,1219458.3958720092
2014-10-08,1223364.1897122562
2014-10-10,1206209.5948236752
2014-10-11,1196647.9976713292
2014-10-14,1193345.56380063
2014-10-17,1180970.4455345292
2014-10-29,1153073.5751312482
2014-11-13,1113206.0466811405
2014-11-25,1085576.8355036897
2014-11-26,1093730.7973181107
2014-11-29,1065537.997346252
2014-12-04,1054845.2975547425
2014-12-10,1039714.5963954089
2014-12-11,1044942.8973584477
2015-01-02,988926.089483688
2015-01-13,960972.226539212
2015-02-01,916042.0167527286
2015-02-05,909899.352944743
2015-02-09,903902.4308900151
2015-02-10,903255.2312661633
2015-03-14,831029.1308511819
2015-03-15,829593.4739378727
2015-03-22,815407.3944381243
2015-03-24,813166.3987931714
2015-04-06,798033.3212706521
2015-04-21,767783.0699275482
2015-04-24,768187.0861033109
2015-04-25,752396.2938523884
2015-05-01,1047904.1882987333
2015-05-07,741934.0203885259
2015-05-12,773888.0308226723
2015-06-08,680244.3849107503
2015-06-12,685205.4654478703
2015-06-13,670207.0547796385
2015-06-15,671939.0394721115
2015-06-19,674320.049190121
2015-06-28,646571.1474699428
2015-07-19,615186.0169831853
2015-08-09,585929.9979954525
2015-08-12,582308.8091701487
2015-08-19,574020.7751251919
2015-08-24,590039.7500575491
2015-08-27,581462.4323903557
2015-09-04,553457.9570647212
2015-09-06,547780.6297972292
2015-09-07,546488.5562615582
2015-09-11,543811.6590306077
2015-09-12,540058.8275664487
2015-10-09,547689.2510629963
2015-10-21,497986.47277162335
2015-10-25,487787.4479480485
2015-10-26,488129.4384247018
2015-10-27,486977.30001784186
2015-11-20,463580.6193699425
2015-12-12,435372.8852009481
2015-12-31,421700.18977440207
2016-01-01,415819.75528290286
2016-01-03,413279.15481494553
2016-01-07,437704.17973682453
2016-01-10,406579.4372024815
2016-01-28,391237.4376526027
2016-01-31,386909.1986885647
2016-02-03,387017.39351851115
2016-02-10,386637.4268491618
2016-02-13,375113.124907076
2016-02-25,377343.82894448075
2016-02-26,366429.69569603936
2016-03-02,360641.1754480487
2016-03-10,353222.6576396403
2016-03-14,352680.8882150521
2016-03-16,349029.0613254961
2016-03-22,345560.458811689
2016-03-30,346858.4837852332
2016-04-07,330825.3491760422
2016-04-13,327786.4975534645
2016-04-14,324765.53969181236
2016-04-26,323320.5510115821
2016-05-07,307402.0079329062
2016-05-08,306668.6740916927
2016-05-15,301783.5750170026
2016-05-16,311822.4790011166
2016-05-26,297942.6741752051
2016-05-27,293670.8079742499
2016-06-04,287851.70583147556
2016-06-05,286992.8499290841
2016-06-11,282946.62464879715
2016-06-21,278560.71552790544
2016-07-17,259838.7365443323
2016-07-30,251947.41071875222
2016-08-15,265393.0646098321
2016-08-22,244309.88157223232
2016-08-28,235230.9272759057
2016-09-02,234062.02862601614
2016-09-30,225761.66625306263
2016-10-08,213474.8896576754
2016-10-14,223161.44515215527
2016-10-16,209463.07163626023
2016-10-18,209340.52976870156
2016-10-21,207928.11620041064
2016-10-27,204763.58498401468
2016-11-02,202760.7845892167
2016-11-21,193026.65637688152
2016-11-25,190626.66078175214
2016-12-07,186209.95427537867
2016-12-17,180869.46916673597
2016-12-31,176339.2844957692
2017-01-01,175452.51419291034
2017-01-03,174237.64978264034
2017-01-14,169258.70543050655
2017-02-17,157517.76368961236
2017-02-28,156458.18684704104
2017-03-09,149767.3310180009
2017-03-23,144943.48875726183
2017-03-27,146373.78229962804
2017-04-09,138403.9640597554
2017-04-10,138476.02476639012
2017-04-23,133889.82456686316
2017-04-24,133805.7516119701
2017-05-17,127914.00548913174
2017-05-21,125306.24327630064
2017-05-24,124706.41591007418
2017-05-26,136828.21328176197
2017-05-28,123242.50266276287
2017-05-29,122947.88454567868
2017-06-11,119221.76474307533
2017-06-13,118884.9522599868
2017-06-19,117799.54729110668
2017-06-26,115160.05748607552
2017-07-02,113438.01194591736
2017-07-13,110671.304513676
2017-07-14,110318.25269812725
2017-07-25,118182.62358437426
2017-07-29,106413.56634969465
2017-08-27,99351.06040515333
2017-09-09,96341.12166069713
2017-10-01,91490.7188109158
2017-10-05,90673.0762427737
2017-10-07,90160.34546766842
2017-10-14,88676.32093101197
2017-10-18,87886.6934586046
2017-10-23,87166.5422109193
2017-11-11,82988.84849603251
2017-11-13,83093.56393851574
2017-11-21,85515.78262065565
2017-11-25,80287.3589531379
2017-11-29,80855.78862730316
2017-12-02,78963.85940188328
2017-12-06,78492.79316164505
2017-12-21,77020.11626113215
2018-01-03,73433.6929729561
2018-01-06,72682.17965870182
2018-01-18,72472.1736363172
2018-01-24,69893.55165269379
2018-01-27,69156.49709374209
2018-02-02,68249.64225044442
2018-02-08,67430.51207255322
2018-03-04,63518.71943577935
2018-03-08,63133.88802416766
2018-03-17,61582.730581777294
2018-03-19,61732.70637628009
2018-03-21,61121.020711129175
2018-04-04,59955.62029699383
2018-04-05,58985.51942215686
2018-04-12,58076.321097288026
2018-04-19,57002.413922458865
2018-04-24,56450.3126720689
2018-04-30,56055.39091271789
2018-05-07,72370.18752499847
2018-06-17,49533.75525844151
2018-06-24,48711.827036724644
2018-06-27,48638.9370371106
2018-06-29,50527.35550902038
2018-07-08,47125.319876893744
2018-07-17,46219.224426947476
2018-07-24,45835.58010467021
2018-07-28,44947.04469133159
2018-08-07,44356.79306684305
2018-08-13,43439.68756872499
2018-08-27,54220.841910162104
2018-08-28,41838.526789513795
2018-08-30,41703.19067785166
2018-09-05,42250.72394029536
2018-10-18,37127.27364613295
2018-10-19,37063.594288920234
2018-10-30,36282.34749362632
2018-11-26,33804.95257266368
2018-12-02,33296.27091392731
2018-12-07,33082.784585886984
2018-12-10,33840.593512744344
2018-12-26,31495.71082258101
2018-12-29,31314.310822052375
2019-01-16,29938.54583856806
2019-01-26,29210.031161866445
2019-02-03,28662.78502480729
2019-02-12,28291.804828514727
2019-02-18,27678.500071042985
2019-02-20,27594.42567902622
2019-02-23,27349.181073938285
2019-03-18,26097.257205542795
2019-03-27,25394.739820289687
2019-03-30,25161.204876147316
2019-04-05,24860.05794312461
2019-04-08,25040.61529466288
2019-04-20,23940.52040034964
2019-04-22,23930.351403414086
2019-04-27,23546.82462363626
2019-05-14,24491.113239048784
2019-05-29,21878.752069643233
2019-06-09,21358.70434165451
2019-06-13,21159.55099735734
2019-06-22,20622.351924389517
2019-06-26,20500.81464591263
2019-07-17,19522.47477067055
2019-07-18,19527.917584386367
