,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,date,time,year,day1ofyear,dayofyear,hour,weekday,day,time_diff
178,None,281.25,0.0,0.0,99,Rain,light rain,2012-10-10 07:00:00,6793,2012-10-10,07:00:00,2012,2012-01-01,283,7.0,2,7,3600.0
179,None,281.25,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 07:00:00,6793,2012-10-10,07:00:00,2012,2012-01-01,283,7.0,2,7,0.0
180,None,280.1,0.0,0.0,99,Rain,light rain,2012-10-10 08:00:00,6283,2012-10-10,08:00:00,2012,2012-01-01,283,8.0,2,7,3600.0
181,None,280.1,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 08:00:00,6283,2012-10-10,08:00:00,2012,2012-01-01,283,8.0,2,7,0.0
182,None,279.61,0.0,0.0,99,Rain,light rain,2012-10-10 09:00:00,5680,2012-10-10,09:00:00,2012,2012-01-01,283,9.0,2,8,3600.0
183,None,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 09:00:00,5680,2012-10-10,09:00:00,2012,2012-01-01,283,9.0,2,8,0.0
269,None,282.43,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 09:00:00,2685,2012-10-14,09:00:00,2012,2012-01-01,287,9.0,6,12,3600.0
270,None,282.43,0.0,0.0,57,Mist,mist,2012-10-14 09:00:00,2685,2012-10-14,09:00:00,2012,2012-01-01,287,9.0,6,12,0.0
271,None,282.43,0.0,0.0,57,Haze,haze,2012-10-14 09:00:00,2685,2012-10-14,09:00:00,2012,2012-01-01,287,9.0,6,12,0.0
272,None,282.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 10:00:00,3370,2012-10-14,10:00:00,2012,2012-01-01,287,10.0,6,12,3600.0
273,None,282.33,0.0,0.0,57,Mist,mist,2012-10-14 10:00:00,3370,2012-10-14,10:00:00,2012,2012-01-01,287,10.0,6,12,0.0
